name	slot	descriptors	effect	bind_effect	is_retold	source	url
Pestilent Doctor's Mask	Head, Headband	Disease, Healing				Akashic Horrors — Corvid's Coterie	https://metzo.miraheze.org/wiki/Guru_Veil_List
Petalstep Soles	Feet		Jump, wall run, and perform other feats with a flurry of petals.	Take no damage from falling, glide as you fall.		Akashic Classes: Kheshig	https://metzo.miraheze.org/wiki/Eclipse_Veil_List
Phantasmal Gleam	Head, Headband	Mark, Mind-affecting, Phantasm				Expanded Akasha — Corrupted Souls	https://metzo.miraheze.org/wiki/Guru_Veil_List
Phase Weave Vest	Body, Shoulders	Enhanced	Become harder to hit as you move.	Shoulders: Become incorporeal when you move<br>Body: Gain Shoulders bind, burn essence to remain incorporeal		Akashic Classes: Kheshig	https://metzo.miraheze.org/wiki/Eclipse_Veil_List
Piercing Salvo	Wrists	Enhanced, Variant	Summon a pistol (or crossbow) that moves you towards foes or a rapier that moves you away.	Moving via the veil allows you to make an extra attack.		Studio M— July 2021 Compilation; The Soulforge: Content Compendium	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Pincer Arms	Belt		Gain pincers that can be used as weapons or legs.	Pincers can grab or climb.		City of Seven Seraphs: Akashic Trinity	https://metzo.miraheze.org/wiki/Helmsman_Veil_List
Pit Fiend's Shroud	Shoulders	Evil, Fear, Mind-affecting	Gain a fearsome aura that causes creatures to become shaken.	Frighten foes & gain a pair of demonic wings.		City of Seven Seraphs: Akashic Trinity	https://metzo.miraheze.org/wiki/Eclipse_Veil_List
Plaguebringer Gauntlets	Hands	Evil	Deal negative energy damage with your touch.	Apply Cruelty to add chosen effect.		Akashic Mysteries	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Plaguebringer Gauntlets (Retold)	Hands	Death, Evil			yes	Akasha Retold — Veils of Mystery	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Plate of the Mountain	Body, Shoulders	Enhanced	Become a wall that interferes with targeting of abilities.	Shoulders: Reduce more damage with an immediate action.<br>Body: Gain Shoulders bind, gain hardness.		Akashic Classes: Kheshig	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Pneumatic Module	Head, Neck, Body		Gain a bonus to bull rush, bull rush creatures who fail to bull rush you or fail to strike you with a bludgeoning weapon.	Head: Bull rush in response to emotional attacks.<br>Neck: Defy critical confirmation & respond with improved bull rushes.<br>Body: Gain variable AC bonus & bull rush groups.		City of Seven Seraphs	https://metzo.miraheze.org/wiki/Radiant_Veil_List
Polar Snowshoes	Feet	Cold	Gain a frigid aura.	Freeze nearby liquids.		Akashic Mysteries	https://metzo.miraheze.org/wiki/Helmsman_Veil_List
Polar Snowshoes (Retold)	Feet	Cold			yes	Akasha Retold — Veils of Mystery	https://metzo.miraheze.org/wiki/Helmsman_Veil_List
Poltergeist's Grasp	Hands	Death				Akashic Horrors — Domains of the Dead	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Pooling Black	Feet	Darkness	Gain an aura of darkness that prevents prone creatures from standing up.	Teleport within darkness.		City of Seven Seraphs: Akashic Trinity	https://metzo.miraheze.org/wiki/Eclipse_Veil_List
Pooling Black (Retold)	Feet, Belt	Darkness			yes	Akasha Retold — Veils of History	https://metzo.miraheze.org/wiki/Eclipse_Veil_List
Pouncing Talons	Feet, Belt	Fleshwarp	Gain a bonus to Acrobatics and the ability to jump on foes and rake them with talons.	Feet: Grapple creatures you pounce upon.<br>Belt: Pounce as a full-round action to make a full attack.		Studio M— November 2021 Compilation	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Powderjinxed Flintlock	Wrists	Acid, Cold, Electricity, Enhanced, Fire, Force, Sonic	Create a blunderbuss that deals random elemental damage, misfires cause more scatter attacks.	Attack normally when misfiring.		The Tome of Veils	https://metzo.miraheze.org/wiki/Helmsman_Veil_List
Prayer of the Mantis	Wrists	Fleshwarp, Mind-affecting	Gain two claw attacks that act like scythes.	Perform a dance that fascinates your foes, automatically crit when attacking fascinated foes.		The Tome of Veils	https://metzo.miraheze.org/wiki/Huay_Veil_List
Precept Scars	Headband					Akashic Expansions: Tai Lin	https://metzo.miraheze.org/wiki/Guru_Veil_List
Presence of the Void	Shoulders, Chest	Teleportation, Variant	Warp reality around you to grant you one effect.	Shoulders: Gain two effects instead.<br>Chest: Gain all three effects.		Expanded Akasha: Variant Arsenal	https://metzo.miraheze.org/wiki/Eclipse_Veil_List
Priestess' Clasp of Rebirth	Neck		Use disguise self at-will.	Reflexively use reincarnate.		City of Seven Seraphs: Akashic Trinity	https://metzo.miraheze.org/wiki/Guru_Veil_List
Priming Touch	Hands	Fire, Force	Prime a creature or object to explode.	Protect yourself and the primed creature or object from damage by the explosion.		The Tome of Veils	https://metzo.miraheze.org/wiki/Guru_Veil_List
Privilege of Advancement	Interface		Gain bonuses to Knowledge (engineering), reroll glitches, perform dirty tricks to make tech items timeworn.	Your tech items do not automatically glitch on a nat 1, tech items you make timeworn always glitch		Akashic Tales: Relics of Atlantis	https://metzo.miraheze.org/wiki/Helmsman_Veil_List
Protector's Warding Aegis	Shoulders, Chest	Variant				Expanded Akasha: Variant Arsenal 2	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Pursuer's Cuffs	Feet, Wrists		Take a 5-foot step to follow foes who step away from you.	Feet: Follow more than just 5-foot steps.<br>Wrists: Make an attack against a creature you followed.		Studio M— July 2021 Compilation	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Pursuer's Cuffs (Akasha Retold)	Feet, Wrists				yes	Akasha Retold — Veils of History	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Qitarn's Bladed Eminence	Head	Enhanced				The Scribe's Archive	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Qitarn's Staff of Lifting	Wrists	Enhanced	Create a quarterstaff that can telekinetically throw objects, use levitate as an SLA.	Throw multiple objects or creatures.		The Soulforge: Spirit of a Hero	https://metzo.miraheze.org/wiki/Nexus_Veil_List
Radiation Sink	Belt	Brand, Radiation				Akashic Tales: Tokusatsu	https://metzo.miraheze.org/wiki/Eclipse_Veil_List
Raiment of Swirling Fog	Chest, Shoulders	Air, Armor, Creation				Stormbound, Pathfinder Compatible	https://metzo.miraheze.org/wiki/Stormbound_Veil_List
Raiment of Swirling Fog (Enhanced)	Chest, Shoulders	Air, Creation, Enhanced	Create light armor that grants concealment.	Shoulders: Grant perfect fly speed to group.<br>Chest: Gain overland flight for group.		The Soulforge: Spirit of a Hero; Stormbound: Renewed Focus	https://metzo.miraheze.org/wiki/Huay_Veil_List
Raiments of the Possessing Specter	Feet, Belt		Use gaseous form and possess objects.	Belt: Possess Gargantuan objects and even creatures.<br>Feet: Your possession abilities improve, allowing you to possess larger objects.		Akashic Horrors	https://metzo.miraheze.org/wiki/Eclipse_Veil_List
Rapture of the Gods	Hands, Wrists	Sonic, Weapon	Create a heavy shield that grants Two-Weapon Fighting and Improved Shield Bash.	Hands: Dual-wield shield bash with primary weapon<br>Wrists: Gain Hands bind, burn to deafen & daze.		Stormbound, Pathfinder Compatible	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Rapture of the Gods (Enhanced)	Hands, Wrists	Enhanced, Sonic	Create a heavy shield that grants Two-Weapon Fighting and Improved Shield Bash.	Hands: Dual-wield shield bash with primary weapon<br>Wrists: Gain Hands bind, burn to deafen & daze.		Studio M— April 2021 Compilation; Stormbound: Renewed Focus	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Raven's Talons	Hands, Wrists	Enhanced				Akashic Horrors — Corvid's Coterie	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Reactive Tendrils	Shoulders	Fleshwarp, Variant				Eldritch Akasha — Whispers of the Old Ones	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Reactor Rods	Hands, Wrists	Enhanced, Radiation				Akashic Tales: Tokusatsu	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Reality Splinters	Hands, Wrists	Variant				Expanded Akasha: Variant Arsenal	https://metzo.miraheze.org/wiki/Eclipse_Veil_List
Reaper's Chained Blades	Hands, Wrists	Death, Enhanced, Variant, Water				Akashic Horrors — Domains of the Dead	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Reaper's Scythe	Hands, Wrists		Gain a dread scythe that deals negative energy to living creatures and positive energy to undead.	Hands: Enhance scythe with deathly power.<br>Wrists: Enhance scythe with deathly power, inflict doom marks on crit.		City of Seven Seraphs: Akashic Trinity	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Reaper's Scythe (Enhanced)	Hands, Wrists	Enhanced	Gain a dread scythe that deals negative energy to living creatures and positive energy to undead.	Hands: Enhance scythe with deathly power.<br>Wrists: Enhance scythe with deathly power, inflict doom marks on crit.		Studio M— February 2021 Compilation; The Soulforge: Content Compendium	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Reaper's Scythe (Retold)	Hands, Wrists, Body	Enhanced, Negative Energy, Positive Energy			yes	Akasha Retold — Veils of History	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Records of Akasha	Hands	Divination	Gain an infinite spellbook and search through it to retry knowledge checks.	Scribing spells is free, prepare spells you haven't scribed.		Classes of the Lost Spheres: Spellweaver	https://metzo.miraheze.org/wiki/Vizier_Veil_List
Records of Akasha (Akasha Retold)	Hands	Divination, Enhanced, Variant			yes	Akasha Retold — Veils of History	https://metzo.miraheze.org/wiki/Guru_Veil_List
Red's Cloak	Shoulders	Fire	Gain endure elements and a bonus to Survival checks.	Creatures attacking you in melee take fire damage.		Akashic Tales: Red's Peril	https://metzo.miraheze.org/wiki/Helmsman_Veil_List
Reflections of Isolation	Shoulders, Body	Curse, Evil				Eldritch Akasha — Whispers of the Old Ones	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Regalia of the Fey Lord	Head, Shoulders, Chest	Acid, Cold, Electricity, Emotion, Fire, Mind-affecting	Choose a season and generate seasonal motes to use with chosen season's abilities.	Head: Choose to gain more motes or pick another season's abilities to draw from.<br>Shoulders: Gain head bind but chose two options.<br>Chest: Gain head bind and choose options 3 times.		Stormbound: Renewed Focus	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Regalia of the Timewalker	Feet, Belt, Body	Time, Variant				Expanded Akasha: Variant Arsenal	https://metzo.miraheze.org/wiki/Eclipse_Veil_List
Reindeer's Harness	Shoulders	Transmutation				Akashic Tales: Gifts of Winter Pageantry	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Rejection Bindings	Shoulders, Body					The Scribe's Archive	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Retaliatory Swarm	Chest	Brand, Poison	Brand a creature, cause insects to swarm them when they attack you.	Use this veil as an AoO as well as an immediate action.		The Tome of Veils	https://metzo.miraheze.org/wiki/Huay_Veil_List
Revenant's Tattered Cloak	Head, Shoulders	Death	Gain Diehard and immunity to nonlethal damage.	Head: You rise again after death to slay your killer, slay them quickly or suffer true death.<br>Shoulders: Gain Head bind, you can now seek your killer endlessly.		Akashic Horrors	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Ribbon of Displacement	Wrists	Glamer, Teleportation	Swap places with a creature and disguise each as the other.	Swap places more quickly, even in response to attacks.		Studio M— September 2021 Compilation	https://metzo.miraheze.org/wiki/Eclipse_Veil_List
Ribbon of Displacement (Retold)	Hands, Wrists, Neck	Glamer, Teleportation			yes	Akasha Retold — Veils of History	https://metzo.miraheze.org/wiki/Eclipse_Veil_List
Rider's Boots	Feet		Summon a horse to ride with the click of your feet.	Your mount acts as phantom steed.		Akashic Classes: Kheshig	https://metzo.miraheze.org/wiki/Helmsman_Veil_List
Rift Shredders	Hands, Feet, Belt	Teleportation				Akasha Retold — Veils of History	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Ring of Refraction	Ring	Figment	Gain illusory duplicates that act as decoys for you.	Create a more intricate duplicate, seeing through its eyes and using its space as your own.		Studio M— January 2021 Compilation	https://metzo.miraheze.org/wiki/Vizier_Veil_List
Ring of the Abjurer	Ring	Force	Gain an armor bonus to AC.	Conjure lesser globes of invulnerability.		Akashic Mysteries	https://metzo.miraheze.org/wiki/Vizier_Veil_List
Ring of the Abjurer (Akasha Retold)	Ring	Force			yes	Akasha Retold — Veils of Mystery	https://metzo.miraheze.org/wiki/Vizier_Veil_List
Riot Breaker's Blunderbuss	Hands	Enhanced				Expanded Akasha: Combatants and Corruption	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Rites of Hospitality	Wrists	Emotion, Healing				Hopes and Feasts - Recipe for Success	https://metzo.miraheze.org/wiki/Guru_Veil_List
Riven Darts	Hands	Force	Deal force damage with ranged touch attacks.	Conjure additional darts.		Akashic Mysteries	https://metzo.miraheze.org/wiki/Helmsman_Veil_List
Riven Darts (Akasha Retold)	Hands	Force			yes	Akasha Retold — Veils of Mystery	https://metzo.miraheze.org/wiki/Helmsman_Veil_List
Riving Spike	Hands, Wrists	Dao, Enhanced, Time				Whispers of Immortality	https://metzo.miraheze.org/wiki/Eclipse_Veil_List
Robe of the Forgotten Deity	Body	Darkness	Gain concealment vs attacks	Become incorporeal		Akashic Mysteries	https://metzo.miraheze.org/wiki/Helmsman_Veil_List
Robe of the Forgotten Deity (Retold)	Body	Darkness			yes	Akasha Retold — Veils of Mystery	https://metzo.miraheze.org/wiki/Eclipse_Veil_List
Robes of Rewiring	Head, Shoulders, Chest	Variant				Expanded Akasha: Variant Arsenal 2	https://metzo.miraheze.org/wiki/Promethean_Veil_List
Robes of Splintered Light	Chest, Shoulders	Enhanced	Create prismatic robes that grant various defensive bonuses.	Shoulders: Gain benefit of an additional color<br>Chest: Gain the benefits of two additional colors		The Soulforge: Content Compendium	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Robes of Splintered Light (Retold)	Shoulders, Chest	Enhanced, Light			yes	Akasha Retold — Veils of History	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Robes of the Crescent Moon	Shoulders, Body	Enhanced, Glamer, Good, Law, Light, Undetectable				Echoes of Magic — What Is Spoken	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Robes of the Worldwalker	Body	Acid, Cold, Fire, Electricity, Sonic	Gain resistance to two elements, as well as bonuses similar to the Endurance feat.	Gain broad elemental resistances, energy healing, and life bubble.		Stormbound, Pathfinder Compatible; Stormbound: Renewed Focus	https://metzo.miraheze.org/wiki/Guru_Veil_List
Rod of Command	Hands	Compulsion, Enhanced, Mind-affecting				Akasha Retold — Veils of Mystery	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Ronin's Horo	Shoulders		When you move, gain a bonus against ranged attacks and a bonus to Intimidate checks.	Capture failed ammunition in your cloak.		Akashic Realms Volume 1: Emperors & Einherjar	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Roshambo	Hands, Headband	Death	Challenge foes to roshambo, with the loser taking damage	Hands: Add additional signs to roshambo.<br>Headband: Learn the final sign of roshambo that slays foes instantly.		April Tools Day	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Royal Treasury	Shoulders	Conjuration, Calling	Gain a bonus to Appraise and a discount on goods and services.	Conjure a slithering pit to store items.		The Fisherking	https://metzo.miraheze.org/wiki/Vizier_Veil_List
Royal Treasury (Retold)	Shoulders	Conjuration			yes	Akasha Retold — Veils of History	https://metzo.miraheze.org/wiki/Lunar_Veil_List
Ruin Treads	Feet	Electricity	Gain two talon attacks that can create difficult terrain.	Unleash lightning burst.		City of Seven Seraphs: Akashic Trinity	https://metzo.miraheze.org/wiki/Daevic_Veil_List
Runecloth of Doorways	Wrists, Neck	Teleportation	Connect two locations, allowing creatures to teleport between them.	Wrists: Conjure portals at increased distance.<br>Neck: Conjure portals at greatly increased distance.		Stormbound, Pathfinder Compatible; Stormbound: Renewed Focus	https://metzo.miraheze.org/wiki/Helmsman_Veil_List
